"id","start_date","start_time","end_time","summary_duration","summary_distance","summary_speed","time","running_HR_25p","running_speed_max","running_speed_mean","running_HR_max","running_HR_75p","running_HR_mean","training_daypart","training_session","training_duration","training_RPE","training_sRPE","daily_wellness_sleep","daily_wellness_fatigue","daily_wellness_stress","daily_wellness_soreness","daily_wellness_mood","daily_readiness_train","daily_HRrest","TRIMP","SHRZ","wellness"
24538,2019-06-08,"16:02:19","17:12:33",4214,14723.6,3.494,4275,177,4.5,3.44786908665105,181.5726,179,168.350877192982,"afternoon","Int tempo",70,"9",630,4,3,2,2,2.5,3.5,53,225.783866415428,148.738845658099,2.7
24537,2019-06-18,"20:17:56","21:17:13",3557,10008,2.814,3557,151,4,2.81573397075366,156,153,144.58448130447,"evening","Ext endurance",60,"3",180,3.5,2,3,3,3,3,55,148.020540271435,126.99154475206,2.9
24359,2019-06-26,"08:33:43","09:20:19",2796,7546.7,2.699,2851,137,3.7,2.65820105820106,148,142,132.056120659418,"morning","Ext endurance",46,"2",92,4,3.5,3,3,3.5,3.5,53,99.6155143952615,106.396569042854,3.4
24591,2019-07-01,"11:55:12","12:31:58",2206,7211.3,3.269,2235,153,4.1,3.23280873087309,159,154,147.088590604027,"morning","Int endurance",36,"4",144,4,3,3,2.5,3.5,3.5,52,92.238502996848,78.6073627325041,3.2
161207,2019-07-07,"08:01:56","09:43:24",6088,16225.1,2.665,6145,140,3.4,2.64316072300928,146,141,137.136696501221,"morning","Ext endurance",102,"2",204,4,3.5,3,2.5,3,3,52,266.918011573795,212.857057078868,3.2
24476,2019-07-11,"18:45:19","19:32:07",2808,7413.1,2.64,2865,144,3.3,2.61983705278073,153,147,138.914834205934,"evening","Ext endurance",46,"2",92,3.5,2,3,2.5,3.5,3,54,107.611422867414,103.669518786917,2.9
24355,2019-07-14,"11:49:54","13:00:28",4234,11663.8,2.755,4326,144,3.8,2.71488863000932,149,146,139.46925566343,"morning","Ext endurance",70,"2",140,3.5,3,3,3.5,3,3.5,56,181.454727717732,149.385901442308,3.2
24570,2019-07-15,"20:24:43","21:18:35",3232,9450.4,2.924,3232,144,3.9,2.92572003716321,168,146,139.180074257426,"evening","Ext endurance",53,"3",159,3,2.5,3,2.5,3,3,54,108.137722127847,136.974757321051,2.8
24337,2019-07-17,"20:26:23","21:34:36",4093,10626.6,2.596,4242,138,3.4,2.50937204910293,151,141,134.346534653465,"evening","Ext endurance",70,"3",210,3,2,3,2,3,2.5,53,144.946386180673,156.146090149303,2.6
161185,2019-07-22,"20:30:59","21:15:43",2684,8165.5,3.042,2731,148,3.8,3.00491531664212,154.727,152,142.36799707067,"evening","Ext endurance",44,"3",132,3,2,2.5,2.5,3,3,51,109.791737301491,96.4900596414269,2.6
24640,2019-07-30,"19:20:09","21:35:35",8126,21882.3,2.693,8278,145,3.4,2.65538794042862,155,149,139.607876298623,"evening","Ext endurance",135,"2",270,3,2.5,3,2.5,3.5,3,51,306.390452499935,302.023113345766,2.9
24340,2019-08-04,"16:55:55","18:27:09",5474,15228.6,2.782,5508,148,3.5,2.77064762597781,156,151,143.246005809731,"afternoon","Ext endurance",90,"2",180,4,2.5,3,2.5,3,3,51,222.467854762028,197.309898030078,3
165721,2019-08-09,"16:19:33","16:58:24",2331,7775.9,3.336,2389,159,4.2,3.26319444444444,164.7612,161,154.211385516953,"afternoon","Ext endurance",39,"4",156,2.5,2,2.5,2,2,2.5,54,127.797827452962,81.5859189634383,2.2
264410,2019-09-06,"18:25:34","19:17:02",3088,11472.7,3.715,3143,166,4.67950000000001,3.65959579885423,171,168,159.720649061406,"evening","Ext interval",51,"6",306,2,2,3,2.5,2.5,3.5,49,170.737187470941,107.748404967505,2.4
24332,2019-09-11,"17:45:24","18:26:00",2288,8301.7,3.578,725,155,4.6,3.58456090651558,161,159,146.415172413793,"afternoon","Int endurance",38,"5",190,3.5,3.5,3.5,4,3.5,4,50,112.354265823261,83.4134275618376,3.6
24484,2019-09-16,"20:18:23","20:58:51",2428,6840.9,2.818,2494,134,3.51300000000001,2.75293408360129,139,135,129.914595028067,"evening","Ext endurance",41,"2",82,2,2.5,3,2,3.5,2.5,53,103.142750369226,85.9687726486819,2.6
24573,2019-09-18,"20:21:07","21:11:56",3049,9007.7,2.954,3098,137,3.9,2.9153457309185,144.6903,138,132.441897998709,"evening","Ext endurance",51,"3",153,3.5,2.5,3,3.5,3.5,3.5,52,120.244756691127,111.25300585246,3.2
161093,2019-09-20,"06:25:10","07:18:20",3190,11639.8,3.649,3283,165,5,3.55366381679389,179,169,156.677733780079,"morning","Fartlek",53,"6",318,2,2,3,3,3.5,3.5,51,137.095051184515,122.35437751004,2.7
24548,2019-09-21,"15:04:05","18:10:54",11209,30097.1,2.685,11209,154,3.8,2.77572891677431,167,156,145.912927112142,"afternoon","Ext endurance",173,"4",692,3.5,2.5,3.5,2.5,3.5,3.5,51,470.682115119951,433.81228022485,3.1
161088,2019-09-27,"19:57:52","21:00:50",3778,13640.2,3.61,3818,157,4.6,3.57141173389209,162,159,152.486642221058,"evening","Ext interval",62,"5",310,2.5,2,2,2.5,3,3,51,213.184926844475,130.851407725898,2.4
161085,2019-09-30,"07:37:33","08:34:04",3391,10882.9,3.209,3565,153,4.2,3.08947967017344,159,155,143.673772791024,"morning","Ext endurance",57,"4",228,2,2,2.5,3,3.5,3,55,128.088047499696,125.941335096366,2.6
24516,2019-10-05,"15:34:14","17:11:57",5863,17801.2,3.036,5980,142,3.9,2.98097389558233,148.4021,143,139.479598662207,"afternoon","Ext endurance",97,"3",291,4.5,4,4,4,4.5,4,53,257.599454051478,204.817242025901,4.2
161077,2019-10-11,"14:56:41","15:49:05",3144,11631.5,3.7,3205,168,4.8,3.6434012539185,193.3592,187,162.98127925117,"afternoon","Ext interval",52,"6",312,3.5,2,3.5,3,4,3.5,51,119.449110208468,126.568316121928,3.2
161071,2019-10-18,"06:58:04","07:28:43",1839,5556.5,3.021,1945,147,4.1,2.91146379853096,154,149,139.825706940874,"morning","Ext endurance",30,"3",90,2,2,2,3,3,3,55,70.296544442643,67.9660118131236,2.4
24342,2019-11-02,"15:55:35","17:18:36",4981,16106.9,3.234,5025,156,4.2,3.20675513869487,161,158,152.354228855721,"afternoon","Ext endurance",83,"3",249,3,2.5,2.5,2.5,2.5,2.5,56,283.930963289295,171.88477554835,2.6
24521,2019-11-09,"14:56:23","15:56:25",3602,12377.6,3.436,3699,161,4.4,3.38070920043812,179,163,157.623682076237,"afternoon","Int endurance",62,"5",310,4,3,3,2.5,3,3,56,155.093164205151,138.056304528259,3.1
24384,2019-11-14,"19:51:35","20:35:34",2639,8605.5,3.261,2682,155,4.1,3.22641970665664,160,157,150.798284862043,"evening","Ext endurance",44,"4",176,4,3,3,3,2.5,3,58,146.902670252303,91.8548226691045,3.1
24493,2019-12-05,"20:18:09","20:56:41",2312,7619.1,3.295,2333,161,4.479,3.27334194659776,184,163,158.013287612516,"evening","Int endurance",38,"5",190,3,2.5,2.5,3,2.5,3,56,90.7863270138583,91.8635884205824,2.7
24525,2019-12-11,"17:06:09","17:41:31",2122,6279.8,2.959,2161,149,3.8,2.93930418429713,154,151,144.658491439149,"afternoon","Ext endurance",36,"5",180,2,2,2.5,2,3.5,3,60,91.7302719646131,74.611377539214,2.4
24606,2019-12-25,"12:20:54","13:34:22",4408,13645.6,3.096,4405,157,4,3.09929625425653,163,159,152.617480136209,"afternoon","Int endurance",75,"5",375,4,3,2,3,3,3,57,239.702963484641,154.74353272633,3
60299,2020-10-03,"15:01:03","16:40:03",5940,18561.3,3.125,6032,161,4.02355,3.08660033167496,175,166,157.226368159204,"afternoon","Ext endurance",100,"4",400,3.5,3.5,3.5,3.5,3.5,3.5,59,272.689285709278,222.135872565655,3.5
62962,2020-10-09,"16:53:42","17:59:49",3967,12263,3.091,4089,156,3.8236,2.99884935191978,166,160,151.759843482514,"afternoon","Ext endurance",68,"3",204,2,2.5,3.5,3,3.5,3.5,58,194.528921164267,144.700966811343,2.9
64053,2020-10-13,"17:43:56","18:27:34",2618,8484.4,3.241,2934,154,4.35,2.89139229720518,164,157,141.153374233129,"afternoon","Int endurance",45,"4",180,3,2.5,3,3,3.5,3.5,55,100.673192396919,104.888095373733,3
64654,2020-10-15,"19:42:03","20:33:57",3114,9420.2,3.025,3128,151,4,3.01631617647059,160,153,147.576726342711,"evening","Ext endurance",52,"4",208,3,3,2.5,2.5,3.5,3.5,55,159.164885317205,111.842904896747,2.9
65046,2020-10-18,"16:13:51","17:54:49",6058,17587.5,2.903,6136,153,3.483,2.86874237730311,161,155,147.845263329529,"afternoon","Ext endurance",100,"3",300,3.5,3,3.5,3,3,3.5,56,303.112632548969,219.31288854527,3.2
66893,2020-10-20,"19:06:40","19:39:47",1987,6127.3,3.084,1995,152,3.65042,3.0709007518797,158,154,146.687719298246,"evening","Ext endurance",33,"4",132,3.5,3,3.5,3.5,3.5,3.5,56,83.1784119929824,70.7704422347749,3.4
160971,2020-11-01,"08:32:53","10:38:10",7517,21488.2,2.859,7593,151,3.52,2.83185328592124,159,154,147.53733702094,"morning","Int endurance",125,"4",500,2.5,2.5,3.5,3,3,3,52,318.007762191335,266.598404988869,2.9
80289,2020-11-07,"09:49:00","10:28:11",2351,8780.2,3.735,2369,176,4.6,3.70751371886872,191,178,171.924018573238,"morning","Int tempo",40,"7",280,4.5,4,4,3,4,4,54,112.694626820916,86.4914695926191,3.9
85902,2020-11-10,"17:30:56","18:18:06",2830,9357.2,3.306,2967,159,4.16238,3.14944320862824,163,160,151.561172901921,"afternoon","Int endurance",50,"4",200,2,2,2.5,3,4,3,55,150.21819884351,100.232833851664,2.7
88891,2020-11-15,"11:09:05","12:25:48",4603,14772.3,3.209,4775,160,4,3.09085989528796,180,164,149.987643979058,"morning","Int endurance",77,"4",308,4,3.5,3.5,3,4,3.5,55,160.496987503605,191.816614983633,3.6
91970,2020-11-17,"17:31:42","18:20:12",2910,9312,3.2,2953,153,3.86804,3.15243853708093,160.7048,155,148.135455469015,"afternoon","Ext endurance",49,"3",147,3,2.5,3,2,3,3.5,56,147.954401401918,104.72132873153,2.7
96770,2020-11-22,"09:58:54","11:45:14",6380,20313.6,3.184,6601,157,3.733,3.07925174295241,165.3403,158,151.307668990603,"morning","Ext endurance",110,"3",330,3,3,3,3,3,3,58,313.935531345231,232.417322655269,3
98607,2020-11-25,"19:21:28","20:20:42",3554,10896.4,3.066,3562,156,3.9,3.05606092083099,164,158,152.895845030882,"evening","Ext endurance",60,"4",240,3,3,3,3,3.5,3.5,57,189.877482979092,125.575166085545,3.1
101319,2020-11-29,"09:00:57","11:00:36",7179,23098.5,3.218,7305,164,3.8596,3.16336084873374,170,166,159.33826146475,"morning","Int endurance",120,"5",600,3.5,3,3.5,2.5,3.5,3.5,59,392.635359102812,251.491152344363,3.2
104270,2020-12-01,"19:46:00","20:16:11",1811,5857.4,3.234,1819,153,3.76394,3.2129466739967,161,156,148.746564046179,"evening","Int endurance",30,"5",150,3.5,2.5,3,2.5,3.5,3.5,59,92.0532128795325,65.1783169881594,3
106948,2020-12-05,"12:32:49","14:41:00",7691,23207.7,3.018,7877,162,3.5,2.94531979179891,167,163,156.050653802209,"morning","Ext endurance",130,"4",520,3,2.5,3,3,3,3,62,410.276355002293,271.902150236827,2.9
130695,2020-12-13,"08:18:06","09:53:20",5714,17233.9,3.016,5741,163,3.733,3.00094843205575,172,166,156.113066202091,"morning","Int endurance",96,"5",480,3,2,2,3,3,3,66,265.04660213799,212.843643454763,2.6
144670,2021-01-08,"18:06:58","18:38:18",1880,6046.1,3.216,1915,155,4.52277999999999,3.15707571801567,169,160,146.805221932115,"evening","Ext endurance",32,"4",128,2,2,3,3,3.5,3.5,57,74.9677284986962,74.2466104963647,2.7
160955,2021-01-15,"17:25:31","17:55:03",1772,5869.2,3.312,1782,158,4,3.28585858585859,171,160,154.401795735129,"afternoon","Int endurance",30,"4",120,2.5,2.5,3,3,3,3,60,82.282486706624,65.9794652368271,2.8
153517,2021-01-20,"17:50:30","18:39:15",2925,9424.9,3.222,3007,158,4.3,3.13822680412371,179,160,148.919853674759,"afternoon","Int endurance",50,"4",200,3.5,2.5,2.5,2.5,3,3,60,97.8761901945278,123.958537317396,2.8
154709,2021-01-24,"08:25:20","10:34:09",7729,23033,2.98,7827,162,3.6,2.94272978152549,175,167,150.825986968187,"morning","Ext endurance",128,"4",512,3.5,3.5,3.5,3.5,3.5,3.5,62,293.139980637127,311.360889727447,3.5
155617,2021-01-27,"17:46:43","18:16:10",1767,6615.9,3.744,1778,170,4.4,3.71622609673791,174,172,159.676602924634,"afternoon","Ext tempo",30,"6",180,4,3.5,3.5,3.5,3.5,3.5,59,88.6104371950822,63.9157938693768,3.6
157142,2021-02-02,"19:35:21","20:04:44",1763,6121.4,3.472,1772,163,3.9,3.44915349887133,169,165,158.778216704289,"evening","Int endurance",30,"4",120,4,3.5,2.5,3,3,3,60,97.087856582244,61.6055698955447,3.2
177384,2021-03-05,"17:54:34","18:22:09",1655,5872.1,3.548,1677,162,4.32312,3.49907573047108,168.8324,164,157.285032796661,"afternoon","Int endurance",28,"4",112,2.5,2.5,3,2.5,3,3,61,87.5363153316739,58.6936120722733,2.7
191605,2021-04-11,"15:48:47","16:59:47",4260,13033.4,3.059,4365,162,4,2.98694931192661,171.5641,164,154.984174311927,"afternoon","Int endurance",71,"5",355,3.5,2.5,3,3,3,3,63,195.868956719424,159.215399817978,3
191910,2021-04-14,"17:47:36","18:19:38",1922,6375.2,3.317,1922,163,4.39475,3.31625910509886,173,166,157.683142559833,"afternoon","Ext tempo",32,"6",192,3.5,2.5,3,2.5,3,3,60,93.1843769332806,70.4067916575679,2.9
198704,2021-05-02,"15:38:45","16:35:04",3379,10543.2,3.12,3448,158,4.68548,3.05925863570392,181,162,153.850217706821,"afternoon","Ext endurance",57,"4",228,2.5,2.5,2,2,3,2.5,62,122.448704445198,138.630028880027,2.4
206168,2021-05-16,"17:14:48","17:59:25",2677,7792.8,2.911,2695,160,3.6,2.89272727272727,180,164,152.414842300557,"afternoon","Int endurance",45,"6",270,2,1.5,2,2.5,2.5,2.5,61,95.8738521529002,110.352193139121,2.1
215370,2021-05-22,"16:27:12","16:53:54",1602,4599.6,2.871,1636,143,3.7465,2.81170232273839,161,147,139.182762836186,"afternoon","Ext endurance",27,"4",108,2.5,2,3,2.5,3,3,62,59.5198928400696,65.0698396306356,2.6
243199,2021-06-23,"09:46:26","10:35:04",2918,8589.9,2.944,2951,156,3.7,2.9147925170068,169,158,146.494217687075,"morning","Int endurance",49,"5",245,3,2.5,3,2.5,3,3,59,114.010004768671,116.171867528661,2.8
251741,2021-07-02,"07:22:36","07:50:03",1647,4900.6,2.975,1647,153,3.70918,2.97379659987857,168,158,142.856102003643,"morning","Int endurance",28,"4",112,2,2,2.5,2,3,3,58,59.601473286302,67.6091626239643,2.3
267611,2021-07-20,"17:16:20","17:52:41",2141,6095,2.853,2181,151,3.5,2.8048371559633,174,156,144.855504587156,"afternoon","Ext endurance",36,"4",144,2,2,3,3,3,3,58,71.999606627353,90.5481662221518,2.6
274237,2021-07-26,"19:43:55","20:20:12",2177,6621.2,3.041,2210,150,3.6,2.99773665158371,167,152,141.306787330317,"evening","Ext endurance",38,"4",152,3,2.5,4,4,4,3.5,59,76.4491274450201,90.458396463952,3.5
277058,2021-07-29,"11:36:07","12:00:48",1481,4378.1,2.956,1487,145,4.6514,2.9315400134499,162.8514,152,138.258238063215,"morning","Ext endurance",25,"3",75,2,2,3.5,3.5,3.5,3.5,58,52.5731524302426,61.2691734372929,2.9
282326,2021-08-07,"08:03:24","08:40:32",2228,6655.3,2.987,2252,153,5.18316999999999,2.95122024866785,187,163,143.416962699822,"morning","Int tempo",37,"6",222,2.5,2.5,3.5,3,3.5,3,57,56.6102200019853,106.135798421809,3
288562,2021-08-13,"17:57:42","18:23:31",1549,4630.8,2.99,1582,150,4.2,2.92999936588459,172.8424,165,143.42041851617,"afternoon","Ext endurance",27,"4",108,2.5,2.5,2.5,2.5,3,3,55,52.3586505475739,65.3736571371567,2.6
290567,2021-08-18,"20:11:37","20:39:13",1627,4835.7,2.736,1656,146,3.93615,2.94136352657005,161,153,139.830314009662,"evening","Ext endurance",27,"4",108,3.5,2.5,2.5,3,3,3,56,64.1736664798138,64.5324434711826,2.9
292288,2021-08-21,"14:47:54","16:09:29",4775,12962,2.713,4903,153,3.42348,2.67064885496183,167,158,145.984732824427,"afternoon","Int endurance",80,"5",400,3,2.5,2.5,3,3,3,59,192.580496436949,187.739842035982,2.8
354123,2021-11-03,"07:09:38","07:26:06",988,2773.9,2.808,1017,161,3.59128,2.73115992102665,167.8988,163,154.143139190523,"morning","Ext endurance",17,"4",68,2.5,2.5,2.5,2.5,3,3,57,49.623555505775,35.7169206003158,2.6
379756,2021-12-11,"15:48:23","16:30:49",2546,6728.4,2.643,2546,157,3.3002,2.64751806755695,174,171,151.467399842891,"afternoon","Ext endurance",43,"4",172,2.5,2.5,2.5,2.5,3,2.5,65,98.8063800407682,101.6330241143,2.6
384343,2021-12-20,"14:39:26","15:43:17",3831,11589.8,3.025,3936,156,3.6089,2.94325050813008,169,161,151.253302845528,"afternoon","Ext endurance",63,"4",252,4,4,3.5,3.5,3.5,3.5,64,167.434714538802,145.989602508816,3.7
388934,2021-12-30,"15:44:55","16:45:28",3633,10011.6,2.756,3662,156,3.67739,2.73623238667395,164,158,152.062807209175,"afternoon","Int endurance",61,"4",244,3.5,3.5,3.5,3.5,3.5,3.5,61,187.070264350842,130.125957711592,3.5
389981,2022-01-02,"11:12:12","12:06:07",3235,9039.5,2.794,3743,165,3.699,2.50434683684795,175,169,144.511098779134,"morning","Int endurance",54,"5",270,3,2.5,3,2.5,3,3,63,101.567742030558,140.759563280525,2.8
393182,2022-01-06,"16:48:05","17:27:16",2351,6676.5,2.84,2404,162,3.96197,2.77584109816972,173,164,152.559484193012,"afternoon","Int endurance",40,"6",240,3.5,3,2.5,3,2.5,2.5,61,98.4989148648377,91.0688106953067,2.9
397457,2022-01-15,"11:23:15","12:45:55",4960,13659.1,2.754,5011,156,3.366,2.72723548193973,164,159,149.16882857713,"morning","Ext endurance",83,"4",332,3.5,3.5,3.5,3,3,3.5,61,234.296942287693,183.48737221244,3.3
399430,2022-01-19,"07:05:57","08:16:47",4250,11174.5,2.629,4368,161,3.36605,2.55326797984425,172,165,152.606504809895,"morning","Ext endurance",70,"4",280,3,3,3,3,3,3,58,185.108677058249,162.17172414127,3
400920,2022-01-23,"07:38:24","08:29:39",3075,8089.5,2.631,3115,142,3.27288,2.58725232744783,153,147,136.50658105939,"morning","Ext endurance",51,"4",204,2.5,2.5,3,3,3,3,59,107.176306603491,118.09642323129,2.8
409817,2022-02-02,"07:14:11","07:54:35",2424,6934.3,2.861,2508,164,3.74,2.77797441023591,179,167,151.642542982807,"morning","Int endurance",41,"5",205,2.5,2.5,2.5,2.5,3,3.5,59,87.8894777866605,99.4273225175766,2.6
440568,2022-03-21,"17:13:05","18:02:59",2994,7607.3,2.541,3021,148,3.4196,2.51338596491228,158,151,140.617014233697,"afternoon","Int endurance",50,"4",200,3.5,3,3,2.5,3.5,3.5,56,105.87854767358,114.286944387939,3.1
455234,2022-04-19,"20:10:10","20:39:52",1782,4751.7,2.667,1787,150,3.37548,2.65453329602686,158,154,143.651930609961,"evening","Ext endurance",30,"6",180,3.5,3.5,3,3,3,3,59,67.7791698657694,65.9945964580591,3.2
478971,2022-05-18,"07:14:16","07:41:21",1625,4001.9,2.463,1663,143,3.2327,2.39859230306675,156.8338,151,136.711365003007,"morning","Ext endurance",27,"4",108,2.5,2.5,3,2.5,3,3,61,51.2282263277325,65.1348397272211,2.7
510122,2022-07-04,"19:55:56","20:57:40",3704,9367.5,2.529,3743,153,3.42658,2.50382500667913,165,160,145.268501202244,"evening","Int endurance",61,"5",305,2,2,2.5,2,3,2.5,62,150.817096398857,145.087435931989,2.3
512681,2022-07-08,"11:49:54","12:28:03",2289,6202.1,2.71,2373,171,3.29832,2.62349704391892,177,175,159.987331081081,"morning","Int endurance",38,"6",228,2,2.5,2.5,2.5,3,3,62,106.815935003578,85.0699259591267,2.5
515334,2022-07-11,"09:53:24","10:27:14",2030,5439.5,2.68,2037,150,3.20788,2.66967501227295,163,151,143.162493863525,"morning","Int endurance",34,"5",170,2,2,2,3,3,2.5,62,81.4006375287634,79.9952830131615,2.4
515335,2022-07-13,"09:31:18","10:30:13",3535,8844.3,2.502,3590,164,3.25621,2.4585061281337,174,170,149.713927576602,"morning","Int endurance",60,"6",360,2.5,2,2,2.5,3,2.5,58,136.039406974079,141.584093893348,2.4
516340,2022-07-15,"07:01:49","07:28:26",1597,5224.8,3.272,1662,163,4.03758,3.14405354993983,170,167,156.542719614922,"morning","Ext tempo",27,"5",135,2.5,2.5,2.5,2.5,3,3,60,80.6295337499718,57.6209511760379,2.6
517192,2022-07-17,"08:21:37","09:08:21",2804,8413.4,3,2812,158,3.75492999999999,2.99719772403983,161,160,150.767780938834,"morning","Int endurance",47,"5",235,3,2.5,2.5,2.5,3,3,60,150.933747516539,98.8029736312497,2.7
521165,2022-07-25,"16:56:25","17:41:25",2700,7257.2,2.688,2772,157,3.24529,2.61887445887446,164,159,149.191919191919,"afternoon","Ext endurance",45,"4",180,2.5,2,3,2.5,3,3,58,129.241240558011,99.3838059370848,2.6
522365,2022-07-28,"07:06:56","07:35:04",1688,4827.6,2.86,1698,143,3.35206,2.8372308598351,154,145,139.242049469965,"morning","Ext endurance",28,"3",84,2.5,2.5,3,2.5,3.5,3,60,62.0345316748052,63.4084222574002,2.8
524679,2022-07-29,"20:06:37","20:45:39",2342,7122.3,3.041,2352,153,3.61852,3.02354278416347,165,155,149.409535972754,"evening","Int endurance",39,"4",156,2.5,2.5,3.5,2.5,3.5,3,60,109.105259660992,87.0952959913918,2.9
528199,2022-08-02,"07:05:28","07:50:01",2673,7212.9,2.698,2706,150,3.2647,2.66551515151515,161,154,143.312638580931,"morning","Ext endurance",45,"4",180,2.5,2.5,3.5,3,3.5,3,59,115.231764958547,102.402085207101,3
570433,2022-09-19,"15:35:42","16:06:10",1828,4680,2.56,1828,178,4.55225,2.56166849015317,199,190,167.989606126915,"afternoon","Int interval",31,"7",217,3.5,2,2.5,3,3,3,63,66.2714218687437,74.9844385276578,2.8
575833,2022-09-26,"17:15:13","17:49:32",2059,5359,2.603,2081,153,3.20608,2.58308674698795,166,156,144.719036144578,"afternoon","Ext endurance",35,"3",105,3.5,2.5,3.5,3,3,3,62,80.4409656143316,81.975971304615,3.1
643632,2022-12-22,"10:55:42","11:42:00",2778,7342.4,2.643,3344,163,3.33668,2.25047352310989,174,169,153.824609733701,"morning","Int endurance",47,"4",188,2.5,2.5,3.5,3,3.5,3.5,61,117.845653165243,107.090242862513,3
646446,2022-12-28,"09:23:19","09:52:03",1724,5015.3,2.909,1724,155,3.75201,2.90250870069606,165,157,151.682134570766,"morning","Int endurance",29,"4",116,3.5,3.5,4,3,3.5,3.5,64,84.5376615799133,62.8854064018767,3.5
647595,2022-12-31,"09:30:00","09:56:13",1573,4564.6,2.902,1573,169,3.32148,2.91132928388747,183,172,161.520460358056,"morning","Int tempo",27,"7",189,3.5,3,4,3.5,4,3.5,60,67.5517429192252,60.3507409086903,3.6
648878,2023-01-02,"11:03:39","11:55:38",3119,8612.3,2.761,3155,155,3.12146,2.72584912836767,166,157,149.639302694136,"morning","Ext endurance",52,"4",208,4.5,3.5,4,3.5,3.5,3.5,60,142.685958609679,116.795233995258,3.8
650419,2023-01-04,"16:53:42","17:19:39",1557,4527.3,2.908,1560,161,6.41625,2.88550384615385,176,166,154.669230769231,"afternoon","Int interval",26,"7",182,4,4,3.5,3,4,3.5,61,64.6243341826622,60.5329514658781,3.7
653830,2023-01-11,"19:11:56","19:34:55",1379,4203.1,3.048,1385,154,3.75244,3.03461083032491,174,158,147.06714801444,"evening","Ext endurance",23,"5",115,2,2,2.5,3,3,3,56,49.9571309725955,56.5831196615082,2.5
654958,2023-01-13,"09:22:26","10:35:23",4377,11391,2.602,4469,157,3.154,2.55011862130707,169,160,149.568039391227,"morning","Ext endurance",73,"5",365,3.5,3,2.5,2.5,3.5,3.5,57,188.634807688798,167.70107806206,3
655993,2023-01-15,"16:13:40","16:40:22",1602,4487,2.801,1609,152,3.48588,2.78886389061529,161,156,147.2218769422,"afternoon","Ext endurance",27,"5",135,3.5,3,2,2,3,3,56,78.7098288770686,58.3922429416254,2.7
657053,2023-01-17,"19:38:18","20:05:11",1613,4737.9,2.937,1624,151,3.69085,2.92006834975369,162,154,145.100369458128,"evening","Ext endurance",27,"5",135,4,3,2,3,3,3,56,72.6343016458979,60.7663398733463,3
